#doc source pos typeindex type topic
#alpha : 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 
#beta : 0.01
0 sample-data/web/de/apollo8.txt 0 0 apollo 2
0 sample-data/web/de/apollo8.txt 1 1 war 1
0 sample-data/web/de/apollo8.txt 2 2 der 5
0 sample-data/web/de/apollo8.txt 3 3 zweite 0
0 sample-data/web/de/apollo8.txt 4 4 bemannte 2
0 sample-data/web/de/apollo8.txt 5 5 raumflug 2
0 sample-data/web/de/apollo8.txt 6 6 des 6
0 sample-data/web/de/apollo8.txt 7 7 amerikanischen 5
0 sample-data/web/de/apollo8.txt 8 0 apollo 2
0 sample-data/web/de/apollo8.txt 9 8 programms 7
0 sample-data/web/de/apollo8.txt 10 9 und 5
0 sample-data/web/de/apollo8.txt 11 2 der 5
0 sample-data/web/de/apollo8.txt 12 10 erste 6
0 sample-data/web/de/apollo8.txt 13 4 bemannte 2
0 sample-data/web/de/apollo8.txt 14 11 flug 8
0 sample-data/web/de/apollo8.txt 15 12 zum 5
0 sample-data/web/de/apollo8.txt 16 13 mond 1
0 sample-data/web/de/apollo8.txt 17 9 und 5
0 sample-data/web/de/apollo8.txt 18 14 damit 1
0 sample-data/web/de/apollo8.txt 19 15 zu 6
0 sample-data/web/de/apollo8.txt 20 16 einem 1
0 sample-data/web/de/apollo8.txt 21 17 anderen 2
0 sample-data/web/de/apollo8.txt 22 18 himmelsk 4
0 sample-data/web/de/apollo8.txt 23 19 rper 6
0 sample-data/web/de/apollo8.txt 24 20 die 6
0 sample-data/web/de/apollo8.txt 25 21 drei 6
0 sample-data/web/de/apollo8.txt 26 22 astronauten 6
0 sample-data/web/de/apollo8.txt 27 23 frank 3
0 sample-data/web/de/apollo8.txt 28 24 borman 6
0 sample-data/web/de/apollo8.txt 29 25 william 8
0 sample-data/web/de/apollo8.txt 30 26 anders 1
0 sample-data/web/de/apollo8.txt 31 9 und 5
0 sample-data/web/de/apollo8.txt 32 27 james 9
0 sample-data/web/de/apollo8.txt 33 28 lovell 6
0 sample-data/web/de/apollo8.txt 34 29 waren 6
0 sample-data/web/de/apollo8.txt 35 20 die 6
0 sample-data/web/de/apollo8.txt 36 30 ersten 6
0 sample-data/web/de/apollo8.txt 37 31 menschen 2
0 sample-data/web/de/apollo8.txt 38 20 die 6
0 sample-data/web/de/apollo8.txt 39 32 mit 5
0 sample-data/web/de/apollo8.txt 40 33 eigenen 1
0 sample-data/web/de/apollo8.txt 41 34 augen 8
0 sample-data/web/de/apollo8.txt 42 20 die 6
0 sample-data/web/de/apollo8.txt 43 35 ckseite 1
0 sample-data/web/de/apollo8.txt 44 6 des 6
0 sample-data/web/de/apollo8.txt 45 36 mondes 8
0 sample-data/web/de/apollo8.txt 46 37 sahen 2
0 sample-data/web/de/apollo8.txt 47 0 apollo 2
0 sample-data/web/de/apollo8.txt 48 38 startete 5
0 sample-data/web/de/apollo8.txt 49 39 dezember 6
0 sample-data/web/de/apollo8.txt 50 40 vom 4
0 sample-data/web/de/apollo8.txt 51 41 kennedy 5
0 sample-data/web/de/apollo8.txt 52 42 space 4
0 sample-data/web/de/apollo8.txt 53 43 center 9
0 sample-data/web/de/apollo8.txt 54 44 florida 6
0 sample-data/web/de/apollo8.txt 55 9 und 5
0 sample-data/web/de/apollo8.txt 56 45 erreichte 7
0 sample-data/web/de/apollo8.txt 57 21 drei 6
0 sample-data/web/de/apollo8.txt 58 46 tage 4
0 sample-data/web/de/apollo8.txt 59 47 sp 1
0 sample-data/web/de/apollo8.txt 60 48 ter 9
0 sample-data/web/de/apollo8.txt 61 39 dezember 6
0 sample-data/web/de/apollo8.txt 62 20 die 6
0 sample-data/web/de/apollo8.txt 63 49 mondumlaufbahn 4
0 sample-data/web/de/apollo8.txt 64 50 gro 5
0 sample-data/web/de/apollo8.txt 65 51 bekanntheit 6
0 sample-data/web/de/apollo8.txt 66 52 erlangte 4
0 sample-data/web/de/apollo8.txt 67 20 die 6
0 sample-data/web/de/apollo8.txt 68 53 fernseh 4
0 sample-data/web/de/apollo8.txt 69 54 bertragung 2
0 sample-data/web/de/apollo8.txt 70 55 aus 5
0 sample-data/web/de/apollo8.txt 71 56 dem 9
0 sample-data/web/de/apollo8.txt 72 57 mondorbit 2
0 sample-data/web/de/apollo8.txt 73 58 hrend 1
0 sample-data/web/de/apollo8.txt 74 2 der 5
0 sample-data/web/de/apollo8.txt 75 20 die 6
0 sample-data/web/de/apollo8.txt 76 21 drei 6
0 sample-data/web/de/apollo8.txt 77 22 astronauten 6
0 sample-data/web/de/apollo8.txt 78 20 die 6
0 sample-data/web/de/apollo8.txt 79 30 ersten 6
0 sample-data/web/de/apollo8.txt 80 59 zeilen 9
0 sample-data/web/de/apollo8.txt 81 2 der 5
0 sample-data/web/de/apollo8.txt 82 60 sch 2
0 sample-data/web/de/apollo8.txt 83 61 pfungsgeschichte 9
0 sample-data/web/de/apollo8.txt 84 62 als 6
0 sample-data/web/de/apollo8.txt 85 63 weihnachtsbotschaft 2
0 sample-data/web/de/apollo8.txt 86 64 verlasen 1
0 sample-data/web/de/apollo8.txt 87 65 nach 5
0 sample-data/web/de/apollo8.txt 88 66 zehn 6
0 sample-data/web/de/apollo8.txt 89 67 umkreisungen 6
0 sample-data/web/de/apollo8.txt 90 6 des 6
0 sample-data/web/de/apollo8.txt 91 36 mondes 7
0 sample-data/web/de/apollo8.txt 92 68 leiteten 9
0 sample-data/web/de/apollo8.txt 93 20 die 6
0 sample-data/web/de/apollo8.txt 94 22 astronauten 6
0 sample-data/web/de/apollo8.txt 95 69 fr 3
0 sample-data/web/de/apollo8.txt 96 70 hen 8
0 sample-data/web/de/apollo8.txt 97 71 morgen 2
0 sample-data/web/de/apollo8.txt 98 6 des 6
0 sample-data/web/de/apollo8.txt 99 39 dezember 6
0 sample-data/web/de/apollo8.txt 100 20 die 6
0 sample-data/web/de/apollo8.txt 101 72 ckkehr 7
0 sample-data/web/de/apollo8.txt 102 73 zur 9
0 sample-data/web/de/apollo8.txt 103 74 erde 1
0 sample-data/web/de/apollo8.txt 104 75 ein 6
0 sample-data/web/de/apollo8.txt 105 76 wo 8
0 sample-data/web/de/apollo8.txt 106 20 die 6
0 sample-data/web/de/apollo8.txt 107 77 ckkehrkapsel 4
0 sample-data/web/de/apollo8.txt 108 39 dezember 6
0 sample-data/web/de/apollo8.txt 109 78 im 1
0 sample-data/web/de/apollo8.txt 110 79 pazifischen 4
0 sample-data/web/de/apollo8.txt 111 80 ozean 6
0 sample-data/web/de/apollo8.txt 112 81 wasserte 1
